,filename,img_id,split,label,sent_id,sentence
0,stadium_4272.tif,4225,train,stadium,"[21125, 21126, 21127, 21128, 21129]","['Many buildings and some green trees are surrounded by four white long buildings around the football field', 'There are many buildings and some green trees around the football field there are four long white buildings around it', 'Many buildings and some green trees are around a football field surrounded by four long white buildings', 'There are many green trees around the football field', 'Many buildings and some green trees are to the redor of a football field surrounded by four white buildings']"
1,farmland_1665.tif,1338,train,farmland,"[6690, 6691, 6692, 6693, 6694]","['Many rectangle land with ark green or moss green plants in it', 'A long narrow light gray road through the farmland in it', 'Some irregular brown stones are on the other side of the farmland', 'A long narrow road and some short narrow road through the farmland', 'There are some irregular brown stones beside the farm']"
2,stadium_4216.tif,4163,train,stadium,"[20815, 20816, 20817, 20818, 20819]","['On the square is a stadium with bowl shaped bleachers and an white awning', 'In the square bowl is stand and stadium with white awakening', 'On the square is a stadium with bowl shaped stands and white awning', 'It is a spectacular soccer stadium with numerous bleachers spelling un club which can contains tens of thousands of spectators', 'On the square is a stadium with cupboard-shaped stands and a white tent']"
3,church_1262.tif,893,train,church,"[4465, 4466, 4467, 4468, 4469]","['The blue church is surrounded by three roads full of parked cars', 'A blue church is surrounded by three roads full of cars', 'A blue church is surrounded by three streets full of parked cars', 'Blue churches surround three streets of cars', 'A blue church is surrounded by three roads full of parked cars']"
4,sparseresidential_3905.tif,3819,train,sparseresidential,"[19095, 19096, 19097, 19098, 19099]","['There was a yellow house in the center of the forest', ""There 's a building with a swimming pool between two trees"", 'There is a yellow house in the middle of the forest', 'There was a yellow house in the middle of the forest', 'There is a yellow house in the forest']"
5,pond_3030.tif,2850,train,pond,"[14250, 14251, 14252, 14253, 14254]","['Beside the pond covered with trees', 'The pond water is clear', ""It 's by the tree lined pond"", 'Next to the pond covered by trees', 'The trees are luxuriant']"
6,port_3162.tif,2996,train,port,"[14980, 14981, 14982, 14983, 14984]","['Many tall trees were planted near the harbor', 'Many big trees have been planted near the port', 'A large number of tall trees have been planted near the port', 'A large number of tall trees were planted near the harbor', 'A large number of tall trees have been planted near the port']"
7,stadium_4242.tif,4192,train,stadium,"[20960, 20961, 20962, 20963, 20964]","['The overall stadium building is white', 'The stadium ground for the green', 'The whole stadium building is white', 'The stadium building in general is white', 'All the stadiums are white']"
8,resort_3454.tif,3319,train,resort,"[16595, 16596, 16597, 16598, 16599]","['It is a beautiful scenery resort', 'This is a beautiful scenic spot', 'Is a beautiful resort landscape', 'This is a beautiful one', ""It 's a beautiful landscape resorts""]"
9,sparseresidential_3824.tif,3729,train,sparseresidential,"[18645, 18646, 18647, 18648, 18649]","['Two wooden buildings are near the meadow and some green trees', 'A building with three trees is near a meadow and some green trees', 'A building with three trees are near a lawn and some green trees', 'Green prairie near three trees', 'A building with three trees is next to a piece of prado and some green trees']"
10,park_2559.tif,2327,train,park,"[11635, 11636, 11637, 11638, 11639]","['In the center is a park with dark green water', 'The park is surrounded by green plants and grey road', 'This is a park with dark green water in the middle', 'Is a park with dark green water in the center', ""It 's a green ocean""]"
11,storagetanks_4425.tif,4394,train,storagetanks,"[21970, 21971, 21972, 21973, 21974]","['Many cars were parked on the side of the road', 'Many cars were parked on the side of the road', 'Many cars were parked on the side of the road', 'Many cars were parked on the side of the road', 'Many cars were parked on the side of the road']"
12,denseresidential_1447.tif,1097,train,denseresidential,"[5485, 5486, 5487, 5488, 5489]","['The residential area consists of several blocks', 'The residential area consists of several blocks with houses and plants', 'The residential area consists of several blocks in which stand houses and facilities', 'Houses and plants in residential areas', 'The residential area is made up of several onde blocks where houses and plants are built']"
