,filename,split,sentence
0,1.tif,train,"['a residential area with houses arranged neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a residential area with houses arranged neatly while some roads and railways go through', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses arranged neatly and some railways beside']"
1,10.tif,train,"['some roads go through the residential area', 'a residential area with houses arranged neatly and a highway beside this area', 'a town with many houses arranged neatly while some roads go through this area', 'a residential area and a wasteland are separated by a highway', 'a residential area and a wasteland are separated by a highway']"
2,100.tif,train,"['lots of houses with different colors of roofs are arranged neatly', 'a residential area with many houses divided into rectangles by some roads', 'a town with many houses arranged densely and divided into rectangles by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with many houses are divided into rectangles by some roads']"
3,101.tif,train,"['lots of houses with different colors of roofs are arranged neatly', 'a residential area with many houses divided into rectangles by some roads', 'a town with many houses arranged densely and divided into rectangles by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with many houses are divided into rectangles by some roads']"
4,102.tif,train,"['lots of houses with red and orange roofs arranged densely', 'a residential area with houses arranged densely while a wide highway beside', 'a town with many houses arranged densely and a wide highway beside', 'this is a residential area with houses arranged neatly while a wide highway beside', 'a residential area with houses arranged neatly while a wide highway passed by']"
5,103.tif,train,"['lots of houses with red and orange roofs arranged densely', 'a residential area with houses arranged densely while a wide highway beside', 'a town with many houses arranged densely and a wide highway beside', 'this is a residential area with houses arranged neatly while a wide highway beside', 'a residential area with houses arranged neatly while a wide highway passed by']"
6,104.tif,train,"['lots of houses with red and orange roofs arranged densely', 'a residential area with houses arranged densely while a wide highway beside', 'a town with many houses arranged densely and a wide highway beside', 'this is a residential area with houses arranged neatly while a wide highway beside', 'a residential area with houses arranged neatly while a wide highway passed by']"
7,105.tif,train,"['lots of houses with different colours of roofs arranged densely', 'a residential area with houses arranged neatly and divided into rectangles by some roads', 'a town with many houses arranged densely while some roads go through this area', 'this is a residential area with houses densely arranged and divided into rectangles by some roads', 'a residential area with houses arranged neatly and divided into rectangles by some roads']"
8,106.tif,train,"['lots of houses with different colours of roofs arranged densely', 'a residential area with houses arranged neatly and divided into rectangles by some roads', 'a town with many houses arranged densely while some roads go through this area', 'this is a residential area with houses densely arranged and divided into rectangles by some roads', 'a residential area with houses arranged neatly and divided into rectangles by some roads']"
9,107.tif,train,"['lots of houses with different colours of roofs arranged densely', 'a residential area with houses arranged neatly and divided into rectangles by some roads', 'a town with many houses arranged densely while some roads go through this area', 'this is a residential area with houses densely arranged and divided into rectangles by some roads', 'a residential area with houses arranged neatly and divided into rectangles by some roads']"
10,108.tif,train,"['lots of houses with different colours of roofs arranged densely', 'a residential area with houses arranged neatly and divided into rectangles by some roads', 'a town with many houses arranged densely while some roads go through this area', 'this is a residential area with houses densely arranged and divided into rectangles by some roads', 'a residential area with houses arranged neatly and divided into rectangles by some roads']"
11,109.tif,train,"['lots of houses with different colours of roofs arranged densely', 'a residential area with houses arranged neatly and divided into rectangles by some roads', 'a town with many houses arranged densely while some roads go through this area', 'this is a residential area with houses densely arranged and divided into rectangles by some roads', 'a residential area with houses arranged neatly and divided into rectangles by some roads']"
12,11.tif,train,"['lots of houses with red and orange roofs arranged very neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged in lines while some roads go through this area', 'a dense residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with houses arranged neatly']"
13,110.tif,train,"['lots of houses with red and orange roofs arranged in lines', 'a residential area with houses arranged in lines and some roads go through this area', 'a town with many houses arranged in lines while some cars on the roads', 'a residential area with houses arranged in lines while many plants on the roadside', 'this is a residential area with houses arranged in lines']"
14,111.tif,train,"['lots of houses with different colors of roofs arranged densely', 'a residential area with houses arranged densely and a railway passed by', 'there are many houses arranged densely while a railway passed by', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses densely arranged and a railway passed by']"
15,112.tif,train,"['lots of houses with different colors of roofs are arranged in lines', 'a residential area with houses arranged in lines and some roads go through this area', 'a town with many houses arranged in lines while some cars on the roads', 'a residential area with houses arranged in lines while some roads go through this area', 'a residential area with houses arranged in lines']"
16,113.tif,train,"['lots of houses with red and orange roofs arranged in lines and a piece of lawn beside this area', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged in lines and a piece of lawn beside', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses arranged neatly and a piece of grass beside']"
17,114.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
18,115.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
19,116.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
